index,event,NClus,foundZ,trueZ,centrality
1095,1095,1083,-6.8,-6.9507
1096,1096,1998,33.8,-27.4092
1097,1097,900,-5,-5.06474
1099,1099,3777,2,2.24065
1100,1100,3253,-10.8,-11.967
1101,1101,1054,-0.4,-0.221726
1104,1104,28,2.4,-0.162705
1108,1108,37,-8.6,-7.054
1110,1110,45,-9.2,-6.84056
1111,1111,147,-6.4,-6.5288
1114,1114,6603,5.8,6.57058
1115,1115,2807,-0.4,-0.5278
1116,1116,1611,8.4,8.58176
1117,1117,1255,-4.8,-4.80613
1118,1118,396,-5.8,-6.41143
1121,1121,385,-15.8,-16.2328
1123,1123,3491,-6.6,-7.02659
1124,1124,1532,8.2,9.21491
1126,1126,2364,-12.4,-13.6521
1127,1127,22,9.6,10.2479
1129,1129,124,-11,-12.8297
1131,1131,276,-13.8,-15.2621
1132,1132,997,3.6,2.84837
1135,1135,12,-12.6,-14.7535
1136,1136,2981,-0.4,-0.84221
1137,1137,417,-6.8,-7.22921
1140,1140,7,-6.4,0.480212
1142,1142,6305,-6.2,-6.41239
1143,1143,6851,-14.4,-15.1747
1144,1144,3,0,0.929854
1145,1145,99,-11,-12.0694
1147,1147,65,-15.4,-18.0034
1148,1148,3157,-2.6,-2.87784
1150,1150,6556,-8,-8.27358
1151,1151,152,-16.2,-16.3134
1153,1153,7172,1.08247e-15,0.720357
1155,1155,1887,-7.6,-8.59287
1156,1156,432,-17.4,-18.2085
1158,1158,2494,-5,-5.51339
1160,1160,93,-14.8,-15.8525
1161,1161,3395,-16,-17.1815
1162,1162,5201,8.4,9.19557
1164,1164,38,-9.6,-14.3903
1166,1166,248,1.08247e-15,-0.138707
1167,1167,4592,0.4,0.452839
1169,1169,13,-23.8,-29.0285
1170,1170,2253,-1.4,-1.61857
1172,1172,2060,-5,-4.88498
1175,1175,2312,5.4,5.17906
1176,1176,3310,5,5.09244
1177,1177,54,-8.8,-6.57738
1179,1179,3376,3,2.80536
1180,1180,3321,-11.8,-12.6244
1181,1181,550,-18.6,-19.8568
1182,1182,4132,4.8,5.42143
1184,1184,3085,6.8,7.05282
1185,1185,2328,5,4.66945
1186,1186,3191,-6,-6.27603
1187,1187,1066,6,5.94543
1191,1191,477,-6,-6.45061
1193,1193,100,-19,-18.9769
1194,1194,4447,-14.8,-15.7763
1195,1195,1656,-15.6,-16.6379
1197,1197,1225,-13.8,-14.6867
1198,1198,5734,-15,-15.7014
1202,1202,75,1.6,1.52709
1205,1205,3945,-13.8,-14.5379
1210,1210,4386,-3,-3.1723
1211,1211,894,-18,-18.9741
1212,1212,106,-1.4,-1.58619
1213,1213,588,-5.4,-5.96806
1215,1215,1393,-7.4,-8.08854
1216,1216,537,-11.2,-11.9897
1217,1217,6087,-20.8,-21.905
1218,1218,5288,-13.2,-14.0602
1220,1220,1452,-5.6,-6.43047
1222,1222,1014,0.6,0.928234
1224,1224,1173,-22.4,-24.3724
1225,1225,491,-6.8,-8.19092
1227,1227,2216,-1.6,-2.17589
