index,event,NClus,foundZ,MBDZ,calculated_centrality,MBD_charge_sum
21866,1866,4585,-13.2,-13.8893,0.11125,1159.16
21867,1867,5850,9.2,10.0841,0.0391647,1464.35
21868,1868,3131,-9.2,-9.94614,0.213945,826.502
21869,1869,597,-2.8,-1.86846,0.62747,134.474
21870,1870,223,5.6,5.83432,0.707998,77.1817
21871,1871,1079,3.2,3.26485,0.475899,295.722
21872,1872,46,-8.4,-7.76388,0.803246,36.8982
21873,1873,4,0,-1.22615,1,3.86662
21878,1878,4124,-15.4,-16.5717,0.168697,960.456
21882,1882,1727,3.4,3.95767,0.361102,490.758
21883,1883,86,6,4.44697,0.91021,13.1284
21884,1884,59,-13,-15.7622,0.778334,45.001
21885,1885,0,0,8.69888,0.888188,16.8351
21887,1887,4,0,8.96151,1,2.53555
21888,1888,0,0,-4.46339,0.866583,20.319
21892,1892,2225,-4.6,-4.74302,0.289915,636.514
21893,1893,308,-4.6,-5.42155,0.652718,113.568
21896,1896,2553,-6.4,-6.66278,0.245213,744.796
21897,1897,762,-0.2,-0.540827,0.559654,197.302
21898,1898,2714,-10.8,-11.0873,0.258327,711.072
21899,1899,2774,7.2,7.6044,0.240686,757.451
21900,1900,214,-8.8,-9.74016,0.749635,59.148
21901,1901,1159,-11.4,-12.1522,0.40566,409.065
21902,1902,0,0,-27.2095,1,1.67097
21903,1903,888,1.08247e-15,-0.0372247,0.377843,456.969
21905,1905,1802,-13.8,-15.0302,0.356704,495.254
21907,1907,6586,-0.4,-0.435379,0.00443011,1696.13
21908,1908,1,0,24.8115,0.965137,5.49957
21909,1909,2926,-6.4,-6.77976,0.272837,675.168
21912,1912,1807,-2.8,-3.4444,0.382225,450.518
21914,1914,471,6.8,6.92479,0.595801,162.611
21915,1915,3246,-13,-13.7905,0.196803,876.409
21916,1916,168,-8.6,-7.84793,0.723664,71.394
21917,1917,166,2.6,-1.24361,0.647181,118.298
21918,1918,5233,8,8.46037,0.0902393,1238.68
21919,1919,1113,-14,-14.9679,0.496942,267.532
21920,1920,544,-8.2,-9.49558,0.609043,148.872
21921,1921,2084,5.8,5.7303,0.296608,620.473
21925,1925,37,-7.8,-11.3337,1,3.19792
21926,1926,944,5.6,6.04929,0.503347,262.768
21928,1928,2356,-12.2,-12.9319,0.361102,488.897
21930,1930,348,-9.4,-10.8899,0.641466,122.09
