index,event,NClus,foundZ,trueZ,chargeSum,centrality
8338,8338,1135,nan,-5.28512,393.638,nan
8341,8341,613,nan,-6.29715,252.829,nan
8342,8342,341,nan,5.14641,115.977,nan
8343,8343,29,nan,3.01336,29.6557,nan
8344,8344,5812,nan,9.52813,1521.31,nan
8346,8346,853,nan,-10.8534,257.053,nan
8348,8348,2,nan,-11.1768,8.02226,nan
8349,8349,78,nan,-13.2144,28.6554,nan
8350,8350,1498,nan,-4.39648,329.565,nan
8351,8351,424,nan,-10.3742,200.158,nan
8352,8352,1061,nan,-22.2063,409.779,nan
8356,8356,2624,nan,-1.30938,693.965,nan
8357,8357,14,nan,-15.8786,3.03373,nan
8358,8358,2253,nan,-8.62531,542.972,nan
8359,8359,106,nan,-12.6876,68.2441,nan
8360,8360,373,nan,0.605727,139.137,nan
8362,8362,5269,nan,11.9029,1456.74,nan
8363,8363,3266,nan,10.2383,927.355,nan
8365,8365,4636,nan,-1.88424,1067.21,nan
8367,8367,4483,nan,-5.9829,1029.49,nan
8368,8368,267,nan,24.6862,95.9177,nan
8369,8369,699,nan,11.3839,236.827,nan
8372,8372,3629,nan,-3.57374,887.866,nan
8374,8374,2861,nan,15.5588,790.607,nan
8378,8378,4468,nan,-0.00835958,1201.88,nan
8380,8380,4766,nan,-2.32572,1012.64,nan
8381,8381,587,nan,4.18196,222.984,nan
8382,8382,48,nan,-7.24588,23.674,nan
8383,8383,2224,nan,-32.1079,841.692,nan
8384,8384,184,nan,-2.27369,63.4427,nan
8385,8385,3581,nan,-11.1716,882.418,nan
8387,8387,340,nan,-4.36885,88.1757,nan
8388,8388,1870,nan,3.20747,469.837,nan
8389,8389,0,nan,-19.8946,1.36589,nan
8390,8390,176,nan,-2.00603,78.9517,nan
8391,8391,2263,nan,-2.23304,603.425,nan
8394,8394,355,nan,-20.2205,158.351,nan
8395,8395,4193,nan,-12.8408,1220.56,nan
8396,8396,203,nan,-1.7721,115.259,nan
8397,8397,42,nan,1.92011,45.9674,nan
8398,8398,5519,nan,-4.23727,1379.84,nan
8400,8400,2995,nan,-22.4036,969.933,nan
8401,8401,266,nan,1.95923,92.2301,nan
8402,8402,2,nan,11.0106,1.56365,nan
8404,8404,44,nan,-11.6711,20.7497,nan
8406,8406,6323,nan,-8.50637,1473.55,nan
8408,8408,3,nan,-4.56985,36.7242,nan
8409,8409,801,nan,-4.88865,167.414,nan
8410,8410,2424,nan,-6.92013,499.756,nan
8411,8411,4194,nan,-16.368,932.722,nan
8412,8412,24,nan,6.90831,12.5066,nan
8414,8414,1,nan,-0.882371,2.07541,nan
8416,8416,499,nan,5.33594,249.761,nan
8417,8417,3268,nan,-3.33579,865.566,nan
8420,8420,5600,nan,8.19708,1270.82,nan
8421,8421,1152,nan,7.7939,279.962,nan
8422,8422,2691,nan,2.141,636.552,nan
8424,8424,1,nan,-26.2495,5.07859,nan
8425,8425,55,nan,-11.9483,31.1204,nan
8426,8426,1848,nan,-5.55242,594.679,nan
8429,8429,1570,nan,-2.19026,448.953,nan
8430,8430,983,nan,-4.64286,289.172,nan
8433,8433,1389,nan,-1.24941,441.45,nan
8436,8436,2508,nan,-3.45471,687.785,nan
8438,8438,645,nan,12.9331,168.406,nan
8439,8439,247,nan,2.34713,52.0929,nan
8440,8440,146,nan,0.159091,47.8256,nan
8441,8441,400,nan,0.837791,169.795,nan
8442,8442,141,nan,-1.8151,16.654,nan
8444,8444,1569,nan,0.332903,501.194,nan
8451,8451,3795,nan,-2.87502,1035.32,nan
8452,8452,6478,nan,8.63737,1552.11,nan
8454,8454,0,nan,8.57486,4.21893,nan
8455,8455,3629,nan,-6.66045,917.108,nan
8456,8456,3407,nan,-19.2305,1026.85,nan
8461,8461,216,nan,-5.50139,68.7371,nan
8464,8464,1040,nan,2.52024,290.672,nan
8465,8465,7042,nan,10.6511,1514.32,nan
8466,8466,5101,nan,-0.367556,1332.12,nan
8469,8469,1342,nan,-9.73653,468.975,nan
8470,8470,1005,nan,3.91233,394.329,nan
8471,8471,271,nan,-8.30354,171.421,nan
8474,8474,4917,nan,-14.7277,1456.87,nan
8475,8475,3747,nan,-19.1125,1061.61,nan
8476,8476,1248,nan,-19.9762,432.271,nan
8478,8478,1056,nan,-9.56704,255.98,nan
8479,8479,141,nan,-10.5805,46.2144,nan
8480,8480,3,nan,-3.01971,7.77741,nan
8481,8481,2029,nan,-13.5903,563.203,nan
8484,8484,4724,nan,-12.4869,1253.09,nan
8488,8488,43,nan,-12.9789,50.2283,nan
8489,8489,915,nan,7.23684,364.293,nan
8490,8490,151,nan,-13.2177,99.4643,nan
8492,8492,4651,nan,-4.02897,1241.58,nan
8493,8493,5936,nan,-3.45788,1437.51,nan
8494,8494,235,nan,0.00301138,59.5707,nan
8500,8500,7,nan,-8.77447,4.34903,nan
8503,8503,114,nan,-16.359,57.6374,nan
8506,8506,0,nan,-21.3289,7.31493,nan
8507,8507,5190,nan,-3.7676,1200.41,nan
8510,8510,4882,nan,-5.48371,1260.34,nan
8511,8511,24,nan,-6.42701,7.89264,nan
8512,8512,1523,nan,3.59955,425.944,nan
8513,8513,45,nan,-1.52398,6.49399,nan
8515,8515,4937,nan,0.373174,1124.27,nan
8516,8516,3043,nan,-7.27139,862.584,nan
8517,8517,4276,nan,-21.7644,1221.07,nan
8519,8519,1394,nan,-9.09309,338.186,nan
8520,8520,49,nan,-1.4784,12.5447,nan
8525,8525,44,nan,-13.5308,34.1967,nan
8526,8526,247,nan,0.524044,97.2763,nan
8527,8527,529,nan,0.155639,183.818,nan
8528,8528,1924,nan,2.64733,575.01,nan
8530,8530,101,nan,-2.66158,44.2394,nan
8531,8531,57,nan,1.06067,9.1345,nan
8534,8534,1690,nan,7.85817,460.702,nan
8536,8536,39,nan,0.857302,12.5475,nan
8537,8537,424,nan,-5.47185,128.735,nan
8541,8541,43,nan,17.2859,17.7306,nan
8542,8542,474,nan,-1.56195,127.1,nan
8543,8543,4125,nan,12.0972,1260.11,nan
8544,8544,12,nan,-19.5466,3.23682,nan
8547,8547,3,nan,-10.8048,4.83867,nan
8548,8548,341,nan,-11.3187,137.312,nan
8550,8550,685,nan,13.9319,318.541,nan
8552,8552,1091,nan,-3.34338,360.701,nan
8554,8554,3121,nan,-1.97235,782.629,nan
8555,8555,7,nan,1.56391,13.5831,nan
8556,8556,2278,nan,4.33767,892.178,nan
8558,8558,82,nan,5.54522,20.2088,nan
8560,8560,6502,nan,-0.00280812,1708.66,nan
8562,8562,144,nan,-20.2036,62.5755,nan
8563,8563,1704,nan,-25.1198,611.302,nan
8564,8564,1863,nan,2.79672,547.895,nan
8565,8565,333,nan,-7.1039,93.3636,nan
8566,8566,366,nan,-0.258207,101.514,nan
8568,8568,33,nan,-6.78589,53.3663,nan
8569,8569,183,nan,-5.87606,26.4104,nan
8571,8571,151,nan,-16.0296,84.0596,nan
8572,8572,0,nan,17.8502,20.4842,nan
8574,8574,483,nan,9.85736,129.785,nan
8576,8576,4503,nan,-12.5711,1549.9,nan
8577,8577,2155,nan,-7.71261,590.558,nan
8579,8579,508,nan,-2.04834,172.637,nan
8580,8580,586,nan,6.2933,275.107,nan
8584,8584,0,nan,29.5789,1.80691,nan
8585,8585,1545,nan,-23.2328,430.515,nan
8589,8589,4,nan,-4.95722,56.8023,nan
8590,8590,176,nan,-3.30473,42.2081,nan
8592,8592,2299,nan,3.93136,522.494,nan
8593,8593,430,nan,-12.1239,161.66,nan
8597,8597,543,nan,-14.8065,218.306,nan
8598,8598,5471,nan,-19.2117,1694.88,nan
8600,8600,5196,nan,-7.7578,1209.29,nan
8601,8601,4237,nan,-8.42887,1135.39,nan
8602,8602,99,nan,1.05814,69.7042,nan
8604,8604,2025,nan,-8.35423,576.62,nan
8605,8605,1530,nan,-20.3679,530.266,nan
8607,8607,14,nan,-22.4791,32.9242,nan
8608,8608,196,nan,-6.35471,64.1995,nan
8609,8609,222,nan,-1.02791,71.3538,nan
8611,8611,1010,nan,-20.1271,335.025,nan
8616,8616,2770,nan,14.8101,17.6129,nan
8617,8617,7032,nan,-2.93427,1568.36,nan
8618,8618,6580,nan,-9.35188,1528.95,nan
8619,8619,389,nan,2.90806,158.807,nan
8624,8624,57,nan,-8.02848,16.8496,nan
8628,8628,2483,nan,11.7803,789.223,nan
8629,8629,490,nan,5.21991,153.134,nan
8632,8632,501,nan,11.186,141.01,nan
8637,8637,4440,nan,-8.65341,1132.51,nan
8638,8638,410,nan,-3.86201,167.611,nan
8639,8639,154,nan,-22.2372,67.3445,nan
8640,8640,1355,nan,-1.0731,405.952,nan
8641,8641,3585,nan,6.07765,1036.77,nan
8643,8643,1185,nan,8.68387,398.222,nan
8644,8644,5496,nan,5.84544,1403.01,nan
8645,8645,192,nan,-5.53698,40.904,nan
8646,8646,1024,nan,-20.122,366.28,nan
8647,8647,1235,nan,2.59974,390.291,nan
8654,8654,1307,nan,-8.59411,461.122,nan
8655,8655,1810,nan,-5.56756,505.257,nan
8656,8656,168,nan,0.790058,34.3322,nan
8657,8657,2959,nan,2.60343,819.252,nan
8658,8658,3136,nan,-1.53883,689.97,nan
8659,8659,4683,nan,2.76478,1198.93,nan
8660,8660,2159,nan,-24.5935,623.505,nan
8661,8661,2,nan,2.6108,2.03022,nan
8662,8662,3093,nan,-15.9568,810.919,nan
8663,8663,810,nan,-13.593,209.668,nan
8664,8664,267,nan,-0.820999,171.04,nan
8665,8665,2244,nan,5.79033,630.099,nan
8666,8666,429,nan,-5.64871,89.0328,nan
8667,8667,2978,nan,-14.605,847.519,nan
8668,8668,1994,nan,15.6489,545.418,nan
8669,8669,818,nan,-19.3006,284.484,nan
8670,8670,11,nan,-14.0164,6.44241,nan
8671,8671,2656,nan,6.8174,706.925,nan
8672,8672,915,nan,-14.8234,249.606,nan
8674,8674,161,nan,13.2306,43.9928,nan
8675,8675,776,nan,-16.5136,272.165,nan
8676,8676,250,nan,-12.5753,107.454,nan
8677,8677,6784,nan,7.00246,1575.58,nan
8678,8678,481,nan,8.46008,124.822,nan
8679,8679,604,nan,-5.0753,212.456,nan
8680,8680,6679,nan,-14.2502,1541.07,nan
8683,8683,5727,nan,-6.50574,1357.14,nan
8684,8684,304,nan,-2.39046,150.591,nan
8685,8685,5789,nan,10.3522,1556.35,nan
8686,8686,2074,nan,0.665576,583.869,nan
8687,8687,65,nan,-12.135,7.66361,nan
8689,8689,382,nan,4.95801,132.767,nan
8690,8690,1292,nan,-9.87999,413.604,nan
8691,8691,624,nan,9.75411,162.612,nan
8692,8692,2934,nan,16.4742,928.165,nan
